Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 94, t: 5.05039, relres: 2.36759e-09, relerr: 4.9142e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 69, t: 3.58278, relres: 8.69722e-09, relerr: 1.72853e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 58, t: 3.04347, relres: 2.21028e-08, relerr: 5.0118e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 185, t: 9.77278, relres: 4.09673e-09, relerr: 8.94182e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 344, t: 18.0145, relres: 5.25256e-09, relerr: 1.14528e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 258, t: 13.5525, relres: 1.0687e-08, relerr: 2.17766e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 88, t: 4.60883, relres: 7.85976e-09, relerr: 1.55257e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 97, t: 5.15963, relres: 1.34101e-08, relerr: 2.94047e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 121, t: 6.15938, relres: 3.72221e-09, relerr: 8.57426e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 103, t: 5.53944, relres: 1.38441e-08, relerr: 2.89643e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 173, t: 9.04008, relres: 3.3658e-09, relerr: 7.2449e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 74, t: 3.86037, relres: 1.63544e-08, relerr: 3.33543e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 89, t: 4.64987, relres: 2.50686e-08, relerr: 5.5586e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 75, t: 3.98057, relres: 1.59319e-08, relerr: 3.5248e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 129, t: 6.8119, relres: 7.78862e-09, relerr: 1.60833e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 128, t: 6.67127, relres: 9.61343e-09, relerr: 1.99285e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 189, t: 9.77205, relres: 1.33314e-08, relerr: 2.79755e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 190, t: 10.0835, relres: 1.46425e-08, relerr: 3.17624e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 98, t: 5.33862, relres: 8.06285e-09, relerr: 1.58052e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 68, t: 3.52892, relres: 5.05896e-09, relerr: 1.13169e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 115, t: 5.93359, relres: 1.1341e-08, relerr: 2.06357e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 134, t: 7.15825, relres: 6.45948e-09, relerr: 1.34374e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 138, t: 7.32041, relres: 1.0316e-08, relerr: 2.36298e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 57, t: 2.8673, relres: 1.14465e-08, relerr: 2.56341e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 55, t: 2.81708, relres: 7.86854e-09, relerr: 1.7133e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 53, t: 3.08819, relres: 7.24464e-09, relerr: 1.51957e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 78, t: 4.30362, relres: 8.2804e-09, relerr: 1.78968e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 68, t: 3.33294, relres: 1.37084e-08, relerr: 3.084e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 265, t: 12.6679, relres: 8.01598e-09, relerr: 1.75134e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 101, t: 4.7677, relres: 1.1694e-08, relerr: 2.5439e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 56, t: 3.061, relres: 2.59831e-09, relerr: 4.3118e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 1.92955, relres: 4.04466e-09, relerr: 7.03712e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 38, t: 2.09986, relres: 5.85468e-09, relerr: 9.46258e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 1.961, relres: 3.24414e-09, relerr: 5.59667e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 36, t: 1.98724, relres: 5.95023e-09, relerr: 9.83543e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 40, t: 2.2235, relres: 3.29722e-09, relerr: 5.54107e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 83, t: 4.87916, relres: 1.74864e-09, relerr: 2.98666e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 30, t: 1.71748, relres: 9.18855e-09, relerr: 1.51776e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 1.97258, relres: 4.22282e-09, relerr: 7.28111e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 1.70036, relres: 2.29232e-08, relerr: 3.99875e-08
