Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 46, t: 2.23721, relres: 9.32572e-09, relerr: 1.97584e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 51, t: 2.46, relres: 6.62069e-09, relerr: 1.37572e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 50, t: 2.39186, relres: 5.13473e-09, relerr: 1.17082e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 49, t: 2.41101, relres: 6.4861e-09, relerr: 1.35105e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 53, t: 3.00156, relres: 5.7193e-09, relerr: 1.25172e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 51, t: 2.4691, relres: 6.63571e-09, relerr: 1.47502e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 49, t: 2.3616, relres: 1.15667e-08, relerr: 2.46621e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 45, t: 2.16277, relres: 1.51316e-08, relerr: 3.16139e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 45, t: 2.15973, relres: 2.34091e-08, relerr: 4.78684e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 47, t: 2.26686, relres: 8.47569e-09, relerr: 1.61115e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 50, t: 2.83137, relres: 9.2689e-09, relerr: 2.03278e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 47, t: 2.49503, relres: 7.88158e-09, relerr: 1.59039e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 48, t: 2.33643, relres: 7.95156e-09, relerr: 1.66163e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 47, t: 2.2747, relres: 8.18058e-09, relerr: 1.82277e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 55, t: 2.66519, relres: 7.80455e-09, relerr: 1.67116e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 58, t: 3.14172, relres: 5.53974e-09, relerr: 1.22201e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 42, t: 2.12995, relres: 2.96827e-08, relerr: 5.62229e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 44, t: 2.12099, relres: 1.08432e-08, relerr: 2.26636e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 48, t: 2.32719, relres: 1.03613e-08, relerr: 2.20146e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 51, t: 2.4407, relres: 1.39741e-08, relerr: 3.13021e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 61, t: 2.91041, relres: 9.77915e-10, relerr: 2.15633e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 61, t: 2.95403, relres: 4.9192e-09, relerr: 1.04276e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 52, t: 2.48374, relres: 1.04148e-08, relerr: 2.26431e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 145, t: 7.29426, relres: 1.18895e-08, relerr: 2.5286e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 50, t: 2.39786, relres: 1.57842e-08, relerr: 3.27447e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 44, t: 2.61017, relres: 1.51932e-08, relerr: 3.08014e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 52, t: 2.71438, relres: 6.59109e-09, relerr: 1.3372e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 52, t: 2.5058, relres: 3.47096e-09, relerr: 7.13327e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.75358, relres: 6.12139e-09, relerr: 1.04707e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 1.70415, relres: 7.59036e-09, relerr: 1.30977e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 1.61146, relres: 3.18439e-09, relerr: 5.54354e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.77681, relres: 3.00779e-09, relerr: 5.40739e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.52991, relres: 9.69365e-09, relerr: 1.69765e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.58818, relres: 4.96295e-09, relerr: 8.0375e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.56489, relres: 8.02883e-09, relerr: 1.3293e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 1.83856, relres: 3.65325e-09, relerr: 6.46328e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.44807, relres: 4.88282e-09, relerr: 8.29102e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.47216, relres: 7.95542e-09, relerr: 1.34927e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.51691, relres: 3.50984e-09, relerr: 6.02257e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 1.56561, relres: 9.23825e-09, relerr: 1.59136e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.4686, relres: 1.27736e-08, relerr: 2.26461e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 1.65964, relres: 7.78115e-10, relerr: 1.40764e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 1.57573, relres: 4.7008e-09, relerr: 7.56435e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 1.62404, relres: 1.0237e-08, relerr: 1.81929e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 1.67772, relres: 6.71052e-09, relerr: 1.19586e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.52123, relres: 7.17448e-09, relerr: 1.36185e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.77247, relres: 4.85273e-09, relerr: 8.37358e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.79682, relres: 2.74261e-09, relerr: 4.6572e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.54862, relres: 3.80196e-09, relerr: 6.82261e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 1.68679, relres: 7.27508e-09, relerr: 1.22602e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.69741, relres: 8.58735e-09, relerr: 1.58446e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 24, t: 1.34533, relres: 1.36472e-08, relerr: 2.28952e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.5292, relres: 8.60389e-09, relerr: 1.45685e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.46295, relres: 9.68851e-09, relerr: 1.6461e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.46129, relres: 1.12587e-08, relerr: 1.89529e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 1.56439, relres: 6.50499e-09, relerr: 1.1571e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 1.62159, relres: 6.59165e-09, relerr: 1.12846e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.44085, relres: 4.31477e-09, relerr: 7.29797e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.52184, relres: 4.86562e-09, relerr: 9.04596e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 1.56948, relres: 6.69701e-09, relerr: 1.17997e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 1.62572, relres: 8.258e-09, relerr: 1.34476e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 25, t: 1.40465, relres: 8.8996e-09, relerr: 1.52681e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.50688, relres: 5.52836e-09, relerr: 9.48385e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 25, t: 1.75985, relres: 1.41603e-08, relerr: 2.48966e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 1.55878, relres: 1.10431e-08, relerr: 1.91723e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.8424, relres: 6.09631e-09, relerr: 1.02304e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.51696, relres: 5.92105e-09, relerr: 1.09783e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.50569, relres: 9.92541e-09, relerr: 1.72457e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 1.60784, relres: 4.16513e-09, relerr: 7.44345e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.44034, relres: 2.16552e-08, relerr: 3.64287e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.51073, relres: 6.5066e-09, relerr: 1.1101e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.47015, relres: 8.13443e-09, relerr: 1.35862e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 27, t: 1.79573, relres: 7.07967e-09, relerr: 1.18885e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 25, t: 1.42257, relres: 1.08295e-08, relerr: 1.99564e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 1.67107, relres: 1.00012e-08, relerr: 1.76227e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 25, t: 1.45057, relres: 1.77286e-08, relerr: 2.82549e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 25, t: 1.40372, relres: 7.38221e-09, relerr: 1.31337e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 1.46789, relres: 7.81142e-09, relerr: 1.38805e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 18, t: 1.25609, relres: 5.40551e-09, relerr: 7.86237e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 18, t: 1.47023, relres: 1.42358e-08, relerr: 2.04869e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 18, t: 1.4568, relres: 1.20502e-08, relerr: 1.78993e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 18, t: 1.25774, relres: 5.90836e-09, relerr: 9.03444e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 19, t: 1.41602, relres: 2.61282e-09, relerr: 3.8209e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 20, t: 1.40422, relres: 2.40695e-09, relerr: 3.68739e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 19, t: 1.30514, relres: 5.20161e-09, relerr: 7.68806e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 19, t: 1.50353, relres: 1.73647e-09, relerr: 2.68818e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 20, t: 1.54189, relres: 5.59579e-09, relerr: 9.22271e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 18, t: 1.32383, relres: 1.22878e-08, relerr: 1.97086e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 19, t: 1.62771, relres: 7.20236e-09, relerr: 1.13028e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 18, t: 1.52587, relres: 6.17701e-09, relerr: 9.79823e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1536, iter: 19, t: 1.56898, relres: 2.57966e-09, relerr: 3.87512e-09
