Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 99, t: 0.124739, relres: 4.88858e-08, relerr: 7.62372e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 56, t: 0.078299, relres: 3.80752e-08, relerr: 5.4903e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 55, t: 0.068673, relres: 2.98174e-08, relerr: 4.40403e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 122, t: 0.179218, relres: 4.7417e-08, relerr: 6.55878e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 56, t: 0.081001, relres: 3.63005e-08, relerr: 5.42763e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 87, t: 0.109363, relres: 4.22878e-08, relerr: 6.94806e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 108, t: 0.13726, relres: 4.25941e-08, relerr: 5.98672e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 73, t: 0.096344, relres: 4.70559e-08, relerr: 6.31311e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 52, t: 0.066427, relres: 3.17143e-08, relerr: 4.55859e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 75, t: 0.119115, relres: 4.10045e-08, relerr: 6.3214e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 50, t: 0.063076, relres: 4.88622e-08, relerr: 7.33419e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 59, t: 0.073975, relres: 4.23245e-08, relerr: 6.07914e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 64, t: 0.085516, relres: 3.85148e-08, relerr: 5.60368e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 59, t: 0.079855, relres: 3.01254e-08, relerr: 4.19533e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 102, t: 0.127358, relres: 3.44782e-08, relerr: 4.91429e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 73, t: 0.095212, relres: 3.4989e-08, relerr: 5.13584e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 96, t: 0.118592, relres: 3.68529e-08, relerr: 5.57586e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 53, t: 0.067098, relres: 3.2956e-08, relerr: 4.78286e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 74, t: 0.095454, relres: 3.36454e-08, relerr: 5.00238e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 55, t: 0.077371, relres: 4.61132e-08, relerr: 6.22097e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 90, t: 0.130963, relres: 2.61751e-08, relerr: 3.72122e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 59, t: 0.079712, relres: 4.26573e-08, relerr: 6.25355e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 64, t: 0.108881, relres: 3.60003e-08, relerr: 5.65669e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 56, t: 0.072324, relres: 4.55156e-08, relerr: 7.11222e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 57, t: 0.074198, relres: 3.36544e-08, relerr: 5.17838e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 62, t: 0.089676, relres: 3.81927e-08, relerr: 5.63791e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 70, t: 0.089446, relres: 4.83145e-08, relerr: 6.5256e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 60, t: 0.076627, relres: 3.47392e-08, relerr: 5.04829e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 70, t: 0.087105, relres: 5.47995e-08, relerr: 7.86354e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 61, t: 0.078434, relres: 3.52596e-08, relerr: 5.15614e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 81, t: 0.101106, relres: 3.98888e-08, relerr: 6.60558e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 78, t: 0.096785, relres: 3.38671e-08, relerr: 5.1361e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 110, t: 0.141267, relres: 4.19112e-08, relerr: 6.58189e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 71, t: 0.102277, relres: 4.02604e-08, relerr: 5.52408e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 70, t: 0.105837, relres: 4.08216e-08, relerr: 6.22918e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 208, t: 0.323818, relres: 5.52073e-08, relerr: 7.75872e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 122, t: 0.180483, relres: 3.52382e-08, relerr: 4.84309e-08
