GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 133, t: 0.054248, relres: 9.72946e-09, relerr: 2.11849e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 114, t: 0.046131, relres: 9.00829e-09, relerr: 1.93784e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 114, t: 0.045846, relres: 9.98805e-09, relerr: 2.04975e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 138, t: 0.048554, relres: 9.88282e-09, relerr: 2.19182e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 118, t: 0.043713, relres: 9.07043e-09, relerr: 1.89488e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 114, t: 0.039206, relres: 8.72219e-09, relerr: 1.85007e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 120, t: 0.050714, relres: 9.58615e-09, relerr: 2.0792e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 127, t: 0.050585, relres: 9.64163e-09, relerr: 2.01319e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 120, t: 0.047137, relres: 9.84087e-09, relerr: 2.05353e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 115, t: 0.043568, relres: 9.96037e-09, relerr: 2.0769e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 110, t: 0.036934, relres: 9.88508e-09, relerr: 2.03079e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 120, t: 0.042757, relres: 9.45578e-09, relerr: 2.03827e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 117, t: 0.049167, relres: 9.26095e-09, relerr: 1.98168e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 113, t: 0.039634, relres: 9.35982e-09, relerr: 1.99025e-08
