Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 972, t: 0.293609, relres: 9.97466e-09, relerr: 3.57471e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 919, t: 0.275615, relres: 9.93702e-09, relerr: 3.51051e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 963, t: 0.294222, relres: 9.94991e-09, relerr: 3.44206e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 902, t: 0.266859, relres: 9.93163e-09, relerr: 3.37082e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 889, t: 0.253673, relres: 9.94522e-09, relerr: 3.38977e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 950, t: 0.277512, relres: 9.97981e-09, relerr: 3.6142e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 953, t: 0.278832, relres: 9.92431e-09, relerr: 3.65897e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 1595, t: 0.474303, relres: 9.92087e-09, relerr: 3.4073e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 930, t: 0.290697, relres: 9.90914e-09, relerr: 3.39789e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 982, t: 0.308051, relres: 9.96904e-09, relerr: 3.61317e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 928, t: 0.273418, relres: 9.96735e-09, relerr: 3.65039e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 1046, t: 0.311661, relres: 9.88309e-09, relerr: 3.6064e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 967, t: 0.291505, relres: 9.90173e-09, relerr: 3.50754e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 846, t: 0.249314, relres: 9.89599e-09, relerr: 3.45109e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 972, t: 0.292063, relres: 9.86444e-09, relerr: 3.49877e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 942, t: 0.27569, relres: 9.84707e-09, relerr: 3.35317e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 911, t: 0.262106, relres: 9.88645e-09, relerr: 3.48453e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 1756, t: 0.511636, relres: 9.84159e-09, relerr: 3.3614e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 936, t: 0.273688, relres: 9.91872e-09, relerr: 3.41183e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 925, t: 0.271316, relres: 9.83679e-09, relerr: 3.4609e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 857, t: 0.252636, relres: 9.83725e-09, relerr: 3.23537e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 694, t: 0.221779, relres: 9.83707e-09, relerr: 2.85883e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 778, t: 0.283162, relres: 9.96395e-09, relerr: 2.91103e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 714, t: 0.270882, relres: 9.92046e-09, relerr: 2.85188e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 733, t: 0.243758, relres: 9.98057e-09, relerr: 2.95422e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 690, t: 0.220175, relres: 9.84606e-09, relerr: 2.83893e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 714, t: 0.230422, relres: 9.83351e-09, relerr: 2.87998e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 722, t: 0.236762, relres: 9.98618e-09, relerr: 2.94129e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 688, t: 0.31505, relres: 9.88372e-09, relerr: 2.94254e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 767, t: 0.293004, relres: 9.91622e-09, relerr: 3.10507e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 705, t: 0.271818, relres: 9.87711e-09, relerr: 2.93024e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 710, t: 0.286918, relres: 9.84619e-09, relerr: 2.9072e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 727, t: 0.270027, relres: 9.99909e-09, relerr: 3.04746e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 704, t: 0.227053, relres: 9.85052e-09, relerr: 2.89505e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 748, t: 0.270172, relres: 9.89121e-09, relerr: 3.03635e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 686, t: 0.246935, relres: 9.91066e-09, relerr: 2.86402e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1536, iter: 674, t: 0.265876, relres: 9.79138e-09, relerr: 2.90645e-08
