GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.667593, relres: 0.346684, relerr: 0.953101
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 269, t: 0.091979, relres: 9.38236e-09, relerr: 2.21856e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 530, t: 0.145422, relres: 9.29982e-09, relerr: 2.16326e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 320, t: 0.08736, relres: 9.57187e-09, relerr: 2.25594e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 697, t: 0.185366, relres: 9.76404e-09, relerr: 2.37971e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 1741, t: 0.57926, relres: 9.42963e-09, relerr: 2.1315e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 1471, t: 0.392723, relres: 9.40288e-09, relerr: 2.19014e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 938, t: 0.251104, relres: 9.09745e-09, relerr: 2.2155e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 940, t: 0.258862, relres: 9.9994e-09, relerr: 2.33048e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.702434, relres: 7.33504e-06, relerr: 1.42846e-05
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 299, t: 0.07935, relres: 9.59412e-09, relerr: 2.26693e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 355, t: 0.096477, relres: 9.74448e-09, relerr: 2.48121e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.663855, relres: 0.408543, relerr: 1.33315
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2008, t: 0.588249, relres: 9.63093e-09, relerr: 2.2555e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.759352, relres: 0.397715, relerr: 1.38997
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 423, t: 0.117354, relres: 9.88966e-09, relerr: 2.4475e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 735, t: 0.199366, relres: 9.51641e-09, relerr: 2.19288e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.748415, relres: 0.341739, relerr: 0.966913
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 301, t: 0.097948, relres: 9.18533e-09, relerr: 2.18451e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 971, t: 0.315727, relres: 9.16755e-09, relerr: 2.28358e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 474, t: 0.128137, relres: 9.5765e-09, relerr: 2.31779e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 340, t: 0.11793, relres: 9.87531e-09, relerr: 2.44095e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 495, t: 0.150304, relres: 9.92435e-09, relerr: 2.18398e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 259, t: 0.071709, relres: 9.04682e-09, relerr: 2.11817e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 439, t: 0.123942, relres: 9.26538e-09, relerr: 2.17181e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 422, t: 0.118081, relres: 9.72451e-09, relerr: 2.43107e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 397, t: 0.110582, relres: 9.51394e-09, relerr: 2.30151e-08
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 403, t: 0.110397, relres: 9.7232e-09, relerr: 2.28587e-08
