Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 38, t: 0.02274, relres: 3.95042e-08, relerr: 4.99133e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 36, t: 0.021158, relres: 3.31578e-08, relerr: 4.24425e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 39, t: 0.020127, relres: 3.24522e-08, relerr: 4.57858e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 38, t: 0.020703, relres: 2.1074e-08, relerr: 2.67907e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 42, t: 0.025517, relres: 2.67264e-08, relerr: 3.35883e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 0.019529, relres: 2.46959e-08, relerr: 3.09874e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 37, t: 0.020892, relres: 4.33374e-08, relerr: 5.74477e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 0.019202, relres: 3.99522e-08, relerr: 4.53226e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 40, t: 0.020356, relres: 2.88602e-08, relerr: 3.65663e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 42, t: 0.02128, relres: 2.49643e-08, relerr: 3.32763e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 33, t: 0.018404, relres: 3.87506e-08, relerr: 4.79267e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 0.021099, relres: 2.44246e-08, relerr: 3.1341e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 33, t: 0.020526, relres: 2.07814e-08, relerr: 2.83464e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 0.021481, relres: 2.67633e-08, relerr: 3.6109e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 36, t: 0.021642, relres: 2.54676e-08, relerr: 3.14274e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 38, t: 0.023693, relres: 2.27004e-08, relerr: 2.96104e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 0.017639, relres: 2.48439e-08, relerr: 3.16604e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 0.019316, relres: 2.51327e-08, relerr: 3.30065e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 33, t: 0.018449, relres: 2.43756e-08, relerr: 3.18804e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 40, t: 0.019983, relres: 4.07741e-08, relerr: 5.42787e-08
