GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.09857, relres: 0.728586, relerr: 1.26797
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.12935, relres: 0.655472, relerr: 1.13338
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.0736, relres: 0.705718, relerr: 1.2651
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.46685, relres: 0.675346, relerr: 1.2495
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.6912, relres: 0.663283, relerr: 1.30332
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.77906, relres: 0.694504, relerr: 1.17227
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.42243, relres: 0.709613, relerr: 1.2724
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.59331, relres: 0.683754, relerr: 1.33484
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.09563, relres: 0.691446, relerr: 1.19373
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.119, relres: 0.692887, relerr: 1.30906
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.11641, relres: 0.718207, relerr: 1.28331
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.26262, relres: 0.660859, relerr: 1.31689
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.12107, relres: 0.694497, relerr: 1.27458
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.38222, relres: 0.664906, relerr: 1.3057
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.03106, relres: 0.721688, relerr: 1.30313
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.18463, relres: 0.646867, relerr: 1.13067
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.47503, relres: 0.653992, relerr: 1.26943
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.59272, relres: 0.714256, relerr: 1.24353
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.42967, relres: 0.724571, relerr: 1.29026
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.50337, relres: 0.670449, relerr: 1.24714
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.39068, relres: 0.719962, relerr: 1.26388
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.43884, relres: 0.670649, relerr: 1.2605
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.57854, relres: 0.706247, relerr: 1.25374
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.47795, relres: 0.738528, relerr: 1.2519
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.39953, relres: 0.694407, relerr: 1.2724
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.57397, relres: 0.733595, relerr: 1.27191
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.40621, relres: 0.725096, relerr: 1.29808
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.48669, relres: 0.741781, relerr: 1.30014
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.48015, relres: 0.728775, relerr: 1.29412
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.62471, relres: 0.700939, relerr: 1.24305
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.499, relres: 0.738965, relerr: 1.29757
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.66205, relres: 0.715401, relerr: 1.10926
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.37056, relres: 0.741796, relerr: 1.22907
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.78739, relres: 0.757763, relerr: 1.29623
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.44419, relres: 0.688466, relerr: 1.28147
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.58435, relres: 0.670769, relerr: 1.2806
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.61658, relres: 0.729764, relerr: 1.20751
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.72779, relres: 0.712018, relerr: 1.27576
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.6442, relres: 0.724738, relerr: 1.25396
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.7393, relres: 0.747138, relerr: 1.21573
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.62035, relres: 0.690597, relerr: 1.2489
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.6957, relres: 0.659384, relerr: 1.27735
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.63713, relres: 0.691763, relerr: 1.30964
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.93158, relres: 0.726734, relerr: 1.14471
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.58062, relres: 0.659331, relerr: 1.23074
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.74099, relres: 0.707348, relerr: 1.24568
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.61851, relres: 0.71958, relerr: 1.2144
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.62327, relres: 0.696563, relerr: 1.2028
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.76748, relres: 0.711996, relerr: 1.23988
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.76745, relres: 0.696112, relerr: 1.20563
GerSax -> unitary, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.90159, relres: 0.715737, relerr: 1.30025
