Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.233, relres: 0.49209, relerr: 0.902128
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 21.7192, relres: 0.458546, relerr: 0.745566
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.5529, relres: 0.547432, relerr: 1.19231
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.3894, relres: 0.494127, relerr: 0.855124
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 23.9929, relres: 0.608242, relerr: 1.23523
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.241, relres: 0.556265, relerr: 1.22426
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.2535, relres: 0.507689, relerr: 1.05031
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.1376, relres: 0.535858, relerr: 1.18808
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.4857, relres: 0.436122, relerr: 0.847938
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.1926, relres: 0.495201, relerr: 1.0923
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.3814, relres: 0.540156, relerr: 1.29175
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.0186, relres: 0.505657, relerr: 0.92406
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.3842, relres: 0.521641, relerr: 1.03668
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 11, t: 0.491272, relres: 9.59865e-16, relerr: 6.07588e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 19, t: 0.906772, relres: 8.9739e-16, relerr: 5.65088e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 11, t: 0.503863, relres: 1.0037e-15, relerr: 5.38094e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.5597, relres: 0.60804, relerr: 1.16304
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 17, t: 0.838594, relres: 9.93114e-16, relerr: 5.90728e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 9, t: 0.437133, relres: 8.81696e-16, relerr: 5.28311e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.2535, relres: 0.522706, relerr: 1.11942
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.1798, relres: 0.546866, relerr: 0.89664
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.0784, relres: 0.548317, relerr: 1.11437
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 23.4433, relres: 0.531961, relerr: 0.951291
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 23.1198, relres: 0.508217, relerr: 0.949835
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 23.262, relres: 0.412155, relerr: 0.728699
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.6174, relres: 0.474262, relerr: 0.787165
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 23.61, relres: 0.521551, relerr: 0.927819
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.6114, relres: 0.392738, relerr: 0.603928
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.9383, relres: 0.569278, relerr: 1.11622
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.4675, relres: 0.583375, relerr: 1.0174
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 6, t: 0.320495, relres: 8.59416e-16, relerr: 5.50035e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.6628, relres: 0.527778, relerr: 1.12176
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 13, t: 0.624673, relres: 8.47182e-16, relerr: 5.18768e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.4551, relres: 0.53914, relerr: 0.994178
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.8217, relres: 0.522309, relerr: 0.949337
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.4343, relres: 0.521135, relerr: 1.00071
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 25.7113, relres: 0.364769, relerr: 0.689532
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 20, t: 1.10668, relres: 9.85178e-16, relerr: 5.53385e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 25.5501, relres: 0.508677, relerr: 0.995308
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 8, t: 0.465132, relres: 1.11284e-15, relerr: 6.00752e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 26.0496, relres: 0.534041, relerr: 0.92061
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 25.2991, relres: 0.595441, relerr: 1.04392
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 14, t: 0.831819, relres: 9.44308e-16, relerr: 5.50679e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 27.106, relres: 0.549708, relerr: 1.0337
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 27.914, relres: 0.586979, relerr: 1.22937
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 26.837, relres: 0.434486, relerr: 0.694633
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 29, t: 1.70609, relres: 9.95067e-16, relerr: 5.53384e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 44, t: 2.76606, relres: 1.07138e-15, relerr: 5.37131e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 25.94, relres: 0.62804, relerr: 1.23042
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 9, t: 0.475454, relres: 1.20945e-15, relerr: 5.9717e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 28.429, relres: 0.569748, relerr: 1.23895
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 9, t: 0.536482, relres: 1.12043e-15, relerr: 6.19278e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 23, t: 1.5978, relres: 1.095e-15, relerr: 6.01045e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 11, t: 0.549363, relres: 9.40756e-16, relerr: 5.28545e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 18, t: 0.974668, relres: 9.70393e-16, relerr: 5.14205e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 25.9049, relres: 0.541494, relerr: 1.22797
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 10, t: 0.549499, relres: 1.18428e-15, relerr: 6.46832e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 7, t: 0.360362, relres: 9.0934e-16, relerr: 5.36094e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 12, t: 0.793481, relres: 1.02081e-15, relerr: 5.75176e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 6, t: 0.283328, relres: 1.09231e-15, relerr: 5.6145e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 9, t: 0.462049, relres: 9.18233e-16, relerr: 4.91001e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 22.595, relres: 0.597758, relerr: 1.30912
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 7, t: 0.360441, relres: 1.10921e-15, relerr: 5.89838e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 6, t: 0.300897, relres: 1.08826e-15, relerr: 5.5336e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 11, t: 0.550026, relres: 1.03265e-15, relerr: 5.7463e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 43, t: 2.26753, relres: 1.13426e-15, relerr: 5.66908e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 30, t: 1.47202, relres: 1.00606e-15, relerr: 5.37001e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 30, t: 1.48504, relres: 9.06942e-16, relerr: 5.47097e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 7, t: 0.366174, relres: 1.02746e-15, relerr: 5.24988e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 6, t: 0.286061, relres: 1.02064e-15, relerr: 5.84124e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 10, t: 0.495837, relres: 8.99749e-16, relerr: 5.22101e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 9, t: 0.400957, relres: 1.19552e-15, relerr: 5.73515e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 8, t: 0.388148, relres: 9.79213e-16, relerr: 5.12525e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 7, t: 0.340863, relres: 9.82814e-16, relerr: 5.31725e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 23.1024, relres: 0.642414, relerr: 1.33273
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 8, t: 0.407609, relres: 1.15858e-15, relerr: 6.11246e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 20, t: 1.01114, relres: 9.9112e-16, relerr: 5.41612e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 8, t: 0.394851, relres: 9.59219e-16, relerr: 5.55315e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 9, t: 0.454546, relres: 9.32137e-16, relerr: 5.22661e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 22.4725, relres: 0.58119, relerr: 1.04285
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 11, t: 0.577551, relres: 9.33587e-16, relerr: 5.45698e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 5, t: 0.245092, relres: 1.0859e-15, relerr: 5.66983e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 16, t: 0.777989, relres: 9.94806e-16, relerr: 5.89469e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 33, t: 1.55489, relres: 1.03448e-15, relerr: 5.71326e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 10, t: 0.479134, relres: 1.10275e-15, relerr: 6.17407e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 22.4504, relres: 0.626105, relerr: 1.1933
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 25, t: 1.2369, relres: 9.42125e-16, relerr: 5.35393e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 500, t: 22.4834, relres: 0.578885, relerr: 1.12508
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 7, t: 0.372359, relres: 1.13418e-15, relerr: 5.65011e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 35, t: 1.65253, relres: 1.03112e-15, relerr: 5.38625e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 7, t: 0.350879, relres: 1.0043e-15, relerr: 5.66083e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 674, iter: 28, t: 1.31276, relres: 1.04463e-15, relerr: 5.69836e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 728, iter: 6, t: 0.347424, relres: 9.67434e-16, relerr: 5.56073e-16
