GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.14261, relres: 0.0675217, relerr: 1.18642
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.14194, relres: 0.0621739, relerr: 1.32078
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.0987, relres: 0.0623208, relerr: 1.32596
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.70496, relres: 0.098123, relerr: 1.19615
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.31632, relres: 0.105568, relerr: 1.3156
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.99648, relres: 0.0944723, relerr: 1.19636
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.69254, relres: 0.0935021, relerr: 1.30841
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.9835, relres: 0.10453, relerr: 1.22137
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 5.66796, relres: 0.108614, relerr: 1.26332
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.12192, relres: 0.0998321, relerr: 1.18086
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.07159, relres: 0.0867389, relerr: 1.25842
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.27363, relres: 0.0819625, relerr: 1.09622
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.24251, relres: 0.0984022, relerr: 1.19138
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.31097, relres: 0.104972, relerr: 1.1339
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.22204, relres: 0.084216, relerr: 1.20822
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.12876, relres: 0.0834008, relerr: 1.13892
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.92917, relres: 0.105135, relerr: 1.29905
GerSax -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 4.66369, relres: 0.114658, relerr: 1.24709
