Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.1505, relres: 0.501346, relerr: 1.05375
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.4285, relres: 0.499598, relerr: 0.971989
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.00929, relres: 0.439855, relerr: 0.926115
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.1962, relres: 0.496298, relerr: 0.954986
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.2326, relres: 0.493463, relerr: 0.871238
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.2606, relres: 0.495484, relerr: 0.940786
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 11.6586, relres: 0.528557, relerr: 1.17033
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 12.3953, relres: 0.456242, relerr: 0.921329
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 11.0504, relres: 0.507554, relerr: 1.13981
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 11.3707, relres: 0.519139, relerr: 1.03821
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.1192, relres: 0.518504, relerr: 0.98304
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.104, relres: 0.478053, relerr: 1.02814
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.8984, relres: 0.45984, relerr: 1.05716
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.8434, relres: 0.533377, relerr: 1.13534
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.961, relres: 0.467961, relerr: 0.978698
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.80846, relres: 0.487137, relerr: 1.04365
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 12.017, relres: 0.517932, relerr: 1.04639
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 11.5984, relres: 0.487011, relerr: 1.07429
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.6195, relres: 0.461554, relerr: 0.912418
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.0268, relres: 0.45741, relerr: 0.930775
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.1407, relres: 0.493065, relerr: 1.04976
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.1122, relres: 0.542112, relerr: 1.00125
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.0183, relres: 0.471656, relerr: 1.06775
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.42205, relres: 0.450426, relerr: 0.907665
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.14968, relres: 0.478857, relerr: 0.956554
