GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.80433, relres: 0.0978852, relerr: 1.21901
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 7.10582, relres: 0.116047, relerr: 1.3908
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 7.94986, relres: 0.104601, relerr: 1.13215
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 7.06152, relres: 0.128664, relerr: 1.38048
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 6.60851, relres: 0.108994, relerr: 1.28218
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 6.95452, relres: 0.109492, relerr: 1.36141
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 7.01179, relres: 0.145382, relerr: 1.20937
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 7.35668, relres: 0.144573, relerr: 1.35396
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 5.74936, relres: 0.176392, relerr: 1.31747
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.51067, relres: 0.16719, relerr: 1.30757
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.74267, relres: 0.148147, relerr: 1.08267
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.4999, relres: 0.145578, relerr: 1.26444
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.7004, relres: 0.158226, relerr: 1.37784
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 7.03186, relres: 0.148252, relerr: 1.35101
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 6.25958, relres: 0.142866, relerr: 1.24419
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 5.01788, relres: 0.161209, relerr: 1.33813
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.98339, relres: 0.161576, relerr: 1.29411
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.7746, relres: 0.145706, relerr: 1.39643
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.60692, relres: 0.141535, relerr: 1.14479
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.62641, relres: 0.15042, relerr: 1.32679
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.5642, relres: 0.158092, relerr: 1.23937
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.51101, relres: 0.146406, relerr: 1.30618
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.74559, relres: 0.145245, relerr: 1.33688
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.46774, relres: 0.123877, relerr: 1.08817
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.62889, relres: 0.153137, relerr: 1.37014
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.88208, relres: 0.17663, relerr: 1.27634
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.61825, relres: 0.149161, relerr: 1.3296
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.94705, relres: 0.14948, relerr: 1.30608
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 5.0285, relres: 0.130951, relerr: 1.1273
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.91696, relres: 0.132811, relerr: 1.33315
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 5.00071, relres: 0.127441, relerr: 1.27111
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.58743, relres: 0.123591, relerr: 1.32833
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.60809, relres: 0.151887, relerr: 1.29025
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.78722, relres: 0.135363, relerr: 1.2447
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.77027, relres: 0.145438, relerr: 1.35432
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.70371, relres: 0.126709, relerr: 1.34929
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.96618, relres: 0.149499, relerr: 1.24026
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.62087, relres: 0.160203, relerr: 1.34198
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.5986, relres: 0.140636, relerr: 1.28218
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.46059, relres: 0.148894, relerr: 1.39299
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.51449, relres: 0.125751, relerr: 1.13486
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.6612, relres: 0.158911, relerr: 1.34843
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.60369, relres: 0.127534, relerr: 1.38052
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.51862, relres: 0.145383, relerr: 1.3195
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.68303, relres: 0.149768, relerr: 1.26874
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.46626, relres: 0.162271, relerr: 1.14997
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.50675, relres: 0.150606, relerr: 1.34512
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.55152, relres: 0.148138, relerr: 1.22656
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.65026, relres: 0.145863, relerr: 1.19478
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.6526, relres: 0.12205, relerr: 1.23238
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.55133, relres: 0.14449, relerr: 1.29294
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.61494, relres: 0.13741, relerr: 1.32518
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 7.0719, relres: 0.133542, relerr: 1.26816
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 6.88235, relres: 0.154785, relerr: 1.38499
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.27836, relres: 0.1538, relerr: 1.3818
GerSax -> unitary, complex, rand_init, n: 256, m: 674, iter: 2500, t: 4.20967, relres: 0.157702, relerr: 1.18131
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.55407, relres: 0.184731, relerr: 1.39585
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.59129, relres: 0.171844, relerr: 1.36626
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.49866, relres: 0.189666, relerr: 1.25897
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.53811, relres: 0.182746, relerr: 1.31933
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.50863, relres: 0.18837, relerr: 1.325
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.53043, relres: 0.177187, relerr: 1.25366
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.45495, relres: 0.188392, relerr: 1.12751
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.54366, relres: 0.191152, relerr: 1.19213
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.41413, relres: 0.207714, relerr: 1.34236
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.59334, relres: 0.187294, relerr: 1.24015
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.63498, relres: 0.165857, relerr: 1.14473
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.48533, relres: 0.14032, relerr: 0.973835
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.59524, relres: 0.171737, relerr: 1.29143
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.67353, relres: 0.192535, relerr: 1.24845
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.44871, relres: 0.177557, relerr: 1.36233
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.72915, relres: 0.176816, relerr: 1.23312
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.59462, relres: 0.185568, relerr: 1.36162
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.64382, relres: 0.196101, relerr: 1.30349
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.50617, relres: 0.183413, relerr: 1.33888
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.6807, relres: 0.171177, relerr: 1.13432
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.45625, relres: 0.172012, relerr: 1.21268
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.50885, relres: 0.204826, relerr: 1.29867
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.57661, relres: 0.169502, relerr: 1.32159
GerSax -> unitary, complex, rand_init, n: 256, m: 728, iter: 2500, t: 4.38637, relres: 0.170785, relerr: 1.27328
