Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 61.3186, relres: 0.101743, relerr: 1.34674
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 67.8872, relres: 0.145852, relerr: 1.3289
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 66.4193, relres: 0.15098, relerr: 1.24732
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 66.7804, relres: 0.153014, relerr: 1.29127
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 67.1024, relres: 0.161952, relerr: 1.34651
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 67.3594, relres: 0.166777, relerr: 1.31596
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 67.0919, relres: 0.164759, relerr: 1.31858
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 66.2623, relres: 0.128917, relerr: 1.07583
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 61.8372, relres: 0.167392, relerr: 1.18703
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 56.5827, relres: 0.137966, relerr: 1.31758
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 53.9024, relres: 0.147302, relerr: 1.40061
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.2699, relres: 0.128801, relerr: 1.20206
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 54.761, relres: 0.144682, relerr: 1.33623
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.0197, relres: 0.15454, relerr: 1.37058
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 59.9248, relres: 0.149197, relerr: 1.17307
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 54.7613, relres: 0.151608, relerr: 1.33016
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 51.6558, relres: 0.168807, relerr: 1.3336
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 55.6602, relres: 0.151872, relerr: 1.22378
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 53.7172, relres: 0.151425, relerr: 1.42767
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 53.1497, relres: 0.160359, relerr: 1.3316
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 55.5575, relres: 0.135306, relerr: 1.31166
