Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.88733, relres: 0.352004, relerr: 0.588853
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.51022, relres: 0.46032, relerr: 1.00186
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.67858, relres: 0.423566, relerr: 0.835325
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 5.18838, relres: 0.344802, relerr: 0.509722
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.05059, relres: 0.422382, relerr: 0.992831
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.36605, relres: 0.440405, relerr: 0.868626
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.37991, relres: 0.467513, relerr: 1.18639
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.70643, relres: 0.366073, relerr: 0.509228
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.00276, relres: 0.370833, relerr: 0.622366
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.02199, relres: 0.334939, relerr: 0.460702
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.88379, relres: 0.412169, relerr: 0.84796
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.92585, relres: 0.382067, relerr: 0.570903
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.10083, relres: 0.385923, relerr: 0.593976
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.88575, relres: 0.314343, relerr: 0.431553
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.92878, relres: 0.433306, relerr: 0.831156
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.92192, relres: 0.403224, relerr: 0.563687
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.87813, relres: 0.439091, relerr: 0.58101
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.02157, relres: 0.390965, relerr: 0.866312
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.81046, relres: 0.432819, relerr: 0.929556
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.22237, relres: 0.420724, relerr: 0.755553
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.86782, relres: 0.505347, relerr: 0.984979
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.9102, relres: 0.498743, relerr: 0.912634
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.72509, relres: 0.498606, relerr: 0.936281
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.98317, relres: 0.403334, relerr: 0.666974
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.8568, relres: 0.503058, relerr: 0.842206
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.87843, relres: 0.461878, relerr: 0.972915
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.89142, relres: 0.448047, relerr: 0.825894
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.93884, relres: 0.419676, relerr: 0.965206
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.80652, relres: 0.353037, relerr: 0.60861
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.13047, relres: 0.344042, relerr: 0.538488
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.86197, relres: 0.351519, relerr: 0.488869
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.17287, relres: 0.422729, relerr: 0.709398
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.90672, relres: 0.498165, relerr: 0.846667
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.13542, relres: 0.306851, relerr: 0.503079
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.93545, relres: 0.471342, relerr: 1.05326
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.95786, relres: 0.431259, relerr: 0.698018
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.81849, relres: 0.474273, relerr: 1.04253
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.8198, relres: 0.458702, relerr: 0.716866
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.23499, relres: 0.451801, relerr: 0.778758
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.96703, relres: 0.319988, relerr: 0.487343
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.73312, relres: 0.436563, relerr: 0.707609
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.05317, relres: 0.513752, relerr: 0.904886
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.88413, relres: 0.333785, relerr: 0.463002
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.13623, relres: 0.49618, relerr: 0.691082
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.02828, relres: 0.441709, relerr: 0.947376
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.22252, relres: 0.263765, relerr: 0.419342
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.06756, relres: 0.456792, relerr: 0.837255
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.93414, relres: 0.359936, relerr: 0.507177
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.02297, relres: 0.486364, relerr: 0.961988
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 4.0304, relres: 0.399613, relerr: 0.579971
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 2.80522, relres: 0.460196, relerr: 0.796587
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.94849, relres: 0.31705, relerr: 0.47849
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 3.7375, relres: 0.343061, relerr: 0.535642
Wirtinger -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 5.11754, relres: 0.412374, relerr: 0.686728
