GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.15232, relres: 0.949033, relerr: 0.982062
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.14882, relres: 0.758684, relerr: 0.96589
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.26609, relres: 0.90717, relerr: 1.01868
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.17146, relres: 1.09556, relerr: 1.04635
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.18077, relres: 1.08519, relerr: 1.10334
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.1426, relres: 0.866615, relerr: 1.03724
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.15671, relres: 0.838265, relerr: 1.05846
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.13458, relres: 0.818587, relerr: 0.922979
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.20454, relres: 0.787939, relerr: 1.08812
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.18643, relres: 0.671219, relerr: 1.11644
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.13222, relres: 1.04517, relerr: 1.00696
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.1087, relres: 0.70647, relerr: 0.954734
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.28923, relres: 0.76347, relerr: 0.89705
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.1247, relres: 0.681922, relerr: 0.790729
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.13619, relres: 0.773102, relerr: 0.884166
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.07722, relres: 0.833299, relerr: 0.973602
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.25595, relres: 0.823337, relerr: 0.978038
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.21752, relres: 0.664692, relerr: 0.875189
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.14648, relres: 0.830051, relerr: 1.03716
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.11763, relres: 1.00108, relerr: 1.02904
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.34339, relres: 0.780623, relerr: 1.10274
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.26237, relres: 0.723995, relerr: 1.03168
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.12198, relres: 0.801757, relerr: 0.913585
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.13931, relres: 0.83879, relerr: 0.919114
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.19932, relres: 0.704887, relerr: 0.895939
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.19977, relres: 0.846072, relerr: 1.01885
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.2871, relres: 0.838733, relerr: 0.834669
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.12676, relres: 0.987186, relerr: 0.960523
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.21088, relres: 0.718271, relerr: 1.17702
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.21588, relres: 0.672964, relerr: 0.735157
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.17204, relres: 0.80581, relerr: 0.999603
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.32503, relres: 0.896813, relerr: 0.928234
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.28086, relres: 0.775345, relerr: 1.05453
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.1902, relres: 1.09934, relerr: 0.893022
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.15526, relres: 0.688193, relerr: 0.908422
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.12759, relres: 0.656986, relerr: 0.842293
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.4468, relres: 0.716366, relerr: 0.951619
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.50731, relres: 0.908462, relerr: 0.935614
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.45558, relres: 0.824699, relerr: 0.923749
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.52058, relres: 0.662407, relerr: 0.976281
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.47975, relres: 0.889392, relerr: 1.10278
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.4433, relres: 0.72371, relerr: 0.871215
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.70486, relres: 0.869006, relerr: 0.953989
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.46839, relres: 0.914307, relerr: 1.20977
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.56752, relres: 0.833341, relerr: 0.912183
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.52617, relres: 1.02446, relerr: 1.04089
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.61423, relres: 0.911983, relerr: 0.95336
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.42352, relres: 0.751296, relerr: 1.09496
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.29164, relres: 0.772116, relerr: 0.862393
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.23698, relres: 0.918476, relerr: 1.03077
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.67959, relres: 0.698529, relerr: 0.852379
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.35951, relres: 0.766741, relerr: 0.926542
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.1388, relres: 0.744576, relerr: 0.882639
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.16685, relres: 0.891207, relerr: 0.992802
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.31645, relres: 0.804269, relerr: 0.981864
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.20058, relres: 0.639831, relerr: 0.725658
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.14691, relres: 0.786476, relerr: 0.873968
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.27422, relres: 0.653697, relerr: 0.772804
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.20654, relres: 0.618881, relerr: 0.717798
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.0439, relres: 0.670877, relerr: 0.793692
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.08996, relres: 0.831916, relerr: 1.0516
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.07873, relres: 0.971055, relerr: 0.850406
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.09789, relres: 0.609604, relerr: 0.711085
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.04037, relres: 0.763322, relerr: 0.890975
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.14386, relres: 0.684027, relerr: 0.82495
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.14333, relres: 0.855867, relerr: 0.988589
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.10945, relres: 0.805897, relerr: 0.957426
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.13104, relres: 0.61317, relerr: 0.863785
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.19861, relres: 0.678082, relerr: 0.830013
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.02715, relres: 0.660644, relerr: 0.863007
GerSax -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.14475, relres: 0.837946, relerr: 0.853708
