Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 19.9939, relres: 0.498768, relerr: 1.17092
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.3729, relres: 0.547329, relerr: 1.26428
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 22.9611, relres: 0.562727, relerr: 1.33853
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 22.2568, relres: 0.502515, relerr: 1.37577
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 23.5755, relres: 0.541344, relerr: 1.24964
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 22.9977, relres: 0.550426, relerr: 1.28357
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 22.7826, relres: 0.450775, relerr: 1.00925
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 22.2233, relres: 0.559203, relerr: 1.11531
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 21.2959, relres: 0.577204, relerr: 1.38738
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.8152, relres: 0.579957, relerr: 1.23287
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 19.9869, relres: 0.615807, relerr: 1.25108
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.9081, relres: 0.535964, relerr: 1.3628
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.6663, relres: 0.526366, relerr: 1.29871
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 21.7084, relres: 0.523147, relerr: 1.08629
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 22.8699, relres: 0.576466, relerr: 1.41218
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.1313, relres: 0.565916, relerr: 1.37929
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.3795, relres: 0.576054, relerr: 1.38401
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.3459, relres: 0.647046, relerr: 1.3898
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.2384, relres: 0.609818, relerr: 1.40487
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 23.8247, relres: 0.547855, relerr: 1.25616
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.5576, relres: 0.593811, relerr: 1.37968
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.2375, relres: 0.620611, relerr: 1.20862
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.1974, relres: 0.602969, relerr: 1.28926
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.3044, relres: 0.588479, relerr: 1.37829
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 23.0941, relres: 0.589408, relerr: 1.1405
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.1575, relres: 0.582522, relerr: 1.18497
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.4778, relres: 0.597422, relerr: 0.987137
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.9346, relres: 0.5604, relerr: 1.20521
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.1787, relres: 0.652278, relerr: 1.22627
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.6548, relres: 0.618318, relerr: 1.31858
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.5041, relres: 0.606481, relerr: 1.21094
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.4961, relres: 0.568211, relerr: 1.28429
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.0531, relres: 0.561975, relerr: 1.31673
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.5074, relres: 0.626243, relerr: 1.41326
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.4569, relres: 0.597563, relerr: 1.38859
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.0581, relres: 0.625531, relerr: 1.04319
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.7661, relres: 0.303408, relerr: 0.515491
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.4397, relres: 0.614226, relerr: 1.39057
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.0572, relres: 0.601032, relerr: 1.39397
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 24.1039, relres: 0.581164, relerr: 1.29411
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 24.7121, relres: 0.602649, relerr: 1.26535
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 23.8652, relres: 0.587173, relerr: 1.32754
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.4039, relres: 0.634534, relerr: 1.39577
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.8298, relres: 0.655522, relerr: 1.39844
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.9067, relres: 0.666211, relerr: 1.25138
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.3687, relres: 0.58546, relerr: 1.20006
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.8326, relres: 0.629186, relerr: 1.25721
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.3808, relres: 0.546666, relerr: 1.16776
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.4502, relres: 0.630747, relerr: 1.36581
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.6546, relres: 0.574672, relerr: 1.39933
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.757, relres: 0.548517, relerr: 1.01715
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.9915, relres: 0.536758, relerr: 1.40034
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.4834, relres: 0.544228, relerr: 1.21368
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 23.6264, relres: 0.605968, relerr: 1.35658
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 22.1595, relres: 0.567734, relerr: 1.41224
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.7235, relres: 0.625779, relerr: 1.348
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.0595, relres: 0.625201, relerr: 1.42674
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 21.893, relres: 0.574202, relerr: 1.17399
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 620, iter: 500, t: 23.6552, relres: 0.655319, relerr: 1.29839
