Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 28, t: 70.1213, relres: 8.87183e-11, relerr: 1.00891e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 32, t: 81.3571, relres: 1.01773e-10, relerr: 1.15747e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 32, t: 79.2731, relres: 5.8419e-11, relerr: 6.64698e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 29, t: 71.4793, relres: 1.56964e-10, relerr: 1.78505e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 27, t: 65.7605, relres: 1.40141e-10, relerr: 1.59397e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 13, t: 62.4198, relres: 3.6069e-12, relerr: 3.80468e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 13, t: 62.0606, relres: 8.62094e-12, relerr: 9.08925e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 11, t: 54.2662, relres: 3.31842e-11, relerr: 3.49775e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 15, t: 73.2516, relres: 1.57389e-12, relerr: 1.65936e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 15, t: 72.4935, relres: 2.78069e-12, relerr: 2.93319e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 16, t: 78.5671, relres: 9.7709e-12, relerr: 1.03046e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 12, t: 58.4014, relres: 2.09475e-11, relerr: 2.20882e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 12, t: 58.0764, relres: 8.02924e-12, relerr: 8.46457e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 13, t: 64.8051, relres: 3.19132e-11, relerr: 3.36439e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 13, t: 61.7245, relres: 1.89214e-12, relerr: 1.99406e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 13, t: 63.5818, relres: 6.37606e-12, relerr: 6.72141e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 14, t: 67.1966, relres: 4.73382e-12, relerr: 4.98839e-12
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 15, t: 71.9766, relres: 1.50185e-11, relerr: 1.5824e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 13, t: 63.1401, relres: 6.78144e-12, relerr: 7.14661e-12
