Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.99293, relres: 9.31794e+06, relerr: 160.798
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.98285, relres: 1.61862e+08, relerr: 670.442
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 2.97503, relres: 1.76179e+08, relerr: 699.68
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.9823, relres: 3.28565e+07, relerr: 329.275
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.97701, relres: 235174, relerr: 25.5988
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 2.98489, relres: 1.71686e+07, relerr: 224.262
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.98008, relres: 1.33506e+08, relerr: 609.054
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.97993, relres: 1.6835e+07, relerr: 216.219
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 3.31252, relres: 8.64027e+07, relerr: 489.912
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.9917, relres: 5.05167e+07, relerr: 376.266
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.99655, relres: 2.72612e+07, relerr: 289.084
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 2.97508, relres: 1.07953e+08, relerr: 547.459
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.9803, relres: 161120, relerr: 21.1941
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.98078, relres: 3.14046e+06, relerr: 110.349
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 2.98119, relres: 6.59389e+07, relerr: 430.647
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.97776, relres: 2.05881e+07, relerr: 279.529
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 268, t: 1028.69, relres: 9.66984e-11, relerr: 1.76414e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 270, t: 1033.71, relres: 9.5599e-11, relerr: 1.74415e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 253, t: 969.752, relres: 9.24579e-11, relerr: 1.68634e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 304, t: 1161.03, relres: 9.49923e-11, relerr: 1.73362e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 321, t: 1233.66, relres: 9.85674e-11, relerr: 1.79883e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 318, t: 1219.65, relres: 9.26658e-11, relerr: 1.69096e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 260, t: 1003.23, relres: 9.01608e-11, relerr: 1.64458e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 260, t: 999.684, relres: 9.42475e-11, relerr: 1.71899e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 277, t: 1065.58, relres: 9.48917e-11, relerr: 1.73123e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 262, t: 1003.32, relres: 9.7426e-11, relerr: 1.77651e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 267, t: 1026.86, relres: 8.9108e-11, relerr: 1.62501e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 279, t: 1073.44, relres: 9.52126e-11, relerr: 1.73604e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 296, t: 1136.98, relres: 9.08419e-11, relerr: 1.65646e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 264, t: 1016.48, relres: 9.5605e-11, relerr: 1.74315e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 271, t: 1038.83, relres: 9.1168e-11, relerr: 1.66218e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 251, t: 961.487, relres: 9.55284e-11, relerr: 1.74182e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 284, t: 1092.75, relres: 9.03197e-11, relerr: 1.64764e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 266, t: 1019.29, relres: 9.16566e-11, relerr: 1.67146e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 263, t: 1017.01, relres: 9.4009e-11, relerr: 1.71626e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 262, t: 1006.21, relres: 9.36948e-11, relerr: 1.70998e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 272, t: 1045.01, relres: 9.41254e-11, relerr: 1.71797e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 303, t: 1162.2, relres: 8.90786e-11, relerr: 1.62533e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 304, t: 1165.97, relres: 8.93029e-11, relerr: 1.6294e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 334, t: 1281.12, relres: 8.81877e-11, relerr: 1.60887e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 273, t: 1050.38, relres: 9.0518e-11, relerr: 1.65118e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 248, t: 951.567, relres: 9.14589e-11, relerr: 1.66768e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 273, t: 1048.2, relres: 9.47137e-11, relerr: 1.72721e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 270, t: 1036.6, relres: 8.80649e-11, relerr: 1.60597e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 266, t: 1021.87, relres: 9.1101e-11, relerr: 1.66103e-10
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 267, t: 1026.52, relres: 9.11269e-11, relerr: 1.66109e-10
