GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 113, t: 502.237, relres: 9.0406e-11, relerr: 1.279e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 114, t: 507.23, relres: 8.42431e-11, relerr: 1.19151e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 154, t: 691.678, relres: 7.65737e-11, relerr: 1.08352e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 120, t: 531.051, relres: 8.16862e-11, relerr: 1.15583e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 126, t: 560.967, relres: 8.2497e-11, relerr: 1.16717e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 151, t: 672.404, relres: 7.43093e-11, relerr: 1.05135e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 179, t: 796.888, relres: 9.73946e-11, relerr: 1.37803e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 122, t: 544.629, relres: 9.12857e-11, relerr: 1.29158e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 133, t: 594.699, relres: 7.44155e-11, relerr: 1.05293e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 100, t: 445.758, relres: 7.60541e-11, relerr: 1.07605e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 158, t: 707.321, relres: 8.40804e-11, relerr: 1.19038e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 125, t: 555.685, relres: 8.62972e-11, relerr: 1.22114e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 121, t: 542.13, relres: 7.39058e-11, relerr: 1.04624e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 117, t: 519.845, relres: 9.05932e-11, relerr: 1.28279e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 137, t: 610.771, relres: 9.11168e-11, relerr: 1.29025e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 218, t: 968.132, relres: 8.39322e-11, relerr: 1.18799e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 225, t: 1001.74, relres: 9.57559e-11, relerr: 1.3555e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 297, t: 1329.1, relres: 8.19796e-11, relerr: 1.16055e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 138, t: 616.965, relres: 8.34913e-11, relerr: 1.18189e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 93, t: 412.68, relres: 8.41519e-11, relerr: 1.19038e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 138, t: 615.784, relres: 8.97101e-11, relerr: 1.26967e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 133, t: 593.15, relres: 9.31747e-11, relerr: 1.31804e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 125, t: 559.512, relres: 9.35023e-11, relerr: 1.32262e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 129, t: 579.49, relres: 7.42505e-11, relerr: 1.05002e-10
