Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 51, t: 2.01205, relres: 2.77819e-08, relerr: 3.6729e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 49, t: 1.94494, relres: 3.1138e-08, relerr: 4.11889e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 48, t: 1.91507, relres: 2.45475e-08, relerr: 3.24778e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 53, t: 2.11485, relres: 3.05574e-08, relerr: 4.04097e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 53, t: 2.12705, relres: 3.43366e-08, relerr: 4.54371e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 50, t: 1.97716, relres: 2.72245e-08, relerr: 3.59377e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 48, t: 1.94746, relres: 3.82312e-08, relerr: 5.04264e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 53, t: 2.11831, relres: 2.59479e-08, relerr: 3.41863e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 47, t: 1.87628, relres: 3.25747e-08, relerr: 4.3082e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 55, t: 2.16303, relres: 2.44392e-08, relerr: 3.22124e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 51, t: 2.0229, relres: 3.0709e-08, relerr: 4.06073e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 49, t: 1.9514, relres: 3.83195e-08, relerr: 5.04707e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 47, t: 1.86185, relres: 2.7298e-08, relerr: 3.59513e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 53, t: 2.09166, relres: 2.75668e-08, relerr: 3.64612e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 2.44095, relres: 3.98821e-08, relerr: 5.28031e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 52, t: 2.04397, relres: 3.56537e-08, relerr: 4.72783e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 50, t: 1.97934, relres: 2.60181e-08, relerr: 3.45312e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 47, t: 1.90911, relres: 4.13688e-08, relerr: 5.48669e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 49, t: 1.96543, relres: 3.46559e-08, relerr: 4.58344e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 47, t: 1.89801, relres: 3.37624e-08, relerr: 4.47849e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 45, t: 1.81191, relres: 2.44664e-08, relerr: 3.23906e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 2.40486, relres: 2.55106e-08, relerr: 3.37263e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 50, t: 2.01765, relres: 2.59927e-08, relerr: 3.44221e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 52, t: 2.07585, relres: 2.94758e-08, relerr: 3.89308e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 52, t: 2.04007, relres: 2.55749e-08, relerr: 3.38044e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 50, t: 2.1153, relres: 2.96348e-08, relerr: 3.89542e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 53, t: 2.11355, relres: 4.00779e-08, relerr: 5.3019e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 53, t: 2.09638, relres: 3.70735e-08, relerr: 4.89229e-08
