Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 193, t: 5.9843, relres: 4.92591e-08, relerr: 7.39583e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 204, t: 6.96129, relres: 4.19466e-08, relerr: 6.29603e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 183, t: 5.68749, relres: 4.92079e-08, relerr: 7.37403e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 223, t: 7.05102, relres: 4.37564e-08, relerr: 6.55362e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 258, t: 7.9455, relres: 5.45814e-08, relerr: 8.15679e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 250, t: 8.46843, relres: 5.15568e-08, relerr: 7.69484e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 278, t: 9.56213, relres: 5.05395e-08, relerr: 7.62439e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 221, t: 6.80326, relres: 4.8236e-08, relerr: 7.24814e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 214, t: 6.62735, relres: 5.31738e-08, relerr: 7.98274e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 261, t: 8.80304, relres: 5.3021e-08, relerr: 7.94291e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 234, t: 7.64165, relres: 5.44085e-08, relerr: 8.20536e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 215, t: 6.62956, relres: 5.63124e-08, relerr: 8.4337e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 217, t: 6.78962, relres: 5.3238e-08, relerr: 7.98276e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 227, t: 6.99556, relres: 5.16339e-08, relerr: 7.70955e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 190, t: 5.88173, relres: 4.48797e-08, relerr: 6.68876e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 250, t: 7.68028, relres: 5.06972e-08, relerr: 7.59678e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 215, t: 8.57904, relres: 4.61996e-08, relerr: 6.91458e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 309, t: 11.2911, relres: 4.94571e-08, relerr: 7.39571e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 214, t: 7.65014, relres: 5.30205e-08, relerr: 7.9511e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 227, t: 8.56077, relres: 5.42197e-08, relerr: 8.08633e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 185, t: 7.05008, relres: 4.75226e-08, relerr: 7.10552e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 229, t: 8.34839, relres: 4.92426e-08, relerr: 7.34249e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 247, t: 8.74753, relres: 5.29298e-08, relerr: 7.94284e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 211, t: 8.44933, relres: 5.11025e-08, relerr: 7.67645e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 199, t: 7.27461, relres: 5.60431e-08, relerr: 8.463e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 245, t: 8.83266, relres: 5.72213e-08, relerr: 8.59128e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 213, t: 7.85884, relres: 4.88109e-08, relerr: 7.33657e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 221, t: 8.65815, relres: 5.52082e-08, relerr: 8.29735e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 222, t: 7.74327, relres: 5.65032e-08, relerr: 8.46367e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 200, t: 7.61868, relres: 4.4339e-08, relerr: 6.66042e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 205, t: 9.26316, relres: 4.34549e-08, relerr: 6.50778e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 257, t: 9.06286, relres: 4.34446e-08, relerr: 6.50476e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 221, t: 7.94385, relres: 5.40629e-08, relerr: 8.13312e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 251, t: 8.78654, relres: 4.26294e-08, relerr: 6.39641e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 228, t: 8.21891, relres: 4.41274e-08, relerr: 6.62002e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 226, t: 12.1987, relres: 4.96e-08, relerr: 7.48002e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 230, t: 11.7846, relres: 5.59667e-08, relerr: 8.43101e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 199, t: 7.62129, relres: 5.34431e-08, relerr: 8.0527e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 2.99424, relres: 2.55456e-08, relerr: 3.37982e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 64, t: 3.09339, relres: 3.48347e-08, relerr: 4.58401e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 2.9918, relres: 3.9187e-08, relerr: 5.18752e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 67, t: 3.25645, relres: 2.77909e-08, relerr: 3.6637e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 55, t: 2.59604, relres: 3.81774e-08, relerr: 5.0436e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 58, t: 2.8234, relres: 2.48067e-08, relerr: 3.26456e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 63, t: 3.114, relres: 3.28587e-08, relerr: 4.34046e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 2.90632, relres: 2.49206e-08, relerr: 3.2943e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 54, t: 2.59, relres: 3.30233e-08, relerr: 4.3813e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 2.88203, relres: 3.9659e-08, relerr: 5.24085e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 54, t: 2.66592, relres: 3.55106e-08, relerr: 4.70165e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 74, t: 4.25442, relres: 2.65678e-08, relerr: 3.51463e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 60, t: 3.05424, relres: 3.23222e-08, relerr: 4.27893e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 2.89944, relres: 3.63969e-08, relerr: 4.80078e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 3.46585, relres: 4.30245e-08, relerr: 5.66528e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 60, t: 2.7957, relres: 2.44597e-08, relerr: 3.23317e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 55, t: 2.52351, relres: 3.6361e-08, relerr: 4.77405e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 58, t: 2.78877, relres: 2.95651e-08, relerr: 3.90572e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 57, t: 3.04992, relres: 3.51725e-08, relerr: 4.64942e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 58, t: 2.65042, relres: 3.99934e-08, relerr: 5.28159e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 57, t: 3.05735, relres: 2.33329e-08, relerr: 3.08003e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 57, t: 2.78518, relres: 3.17075e-08, relerr: 4.18738e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 55, t: 2.19089, relres: 2.46052e-08, relerr: 3.25303e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 52, t: 2.08504, relres: 3.55138e-08, relerr: 4.67871e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 57, t: 2.25863, relres: 3.45359e-08, relerr: 4.5398e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 53, t: 2.0802, relres: 4.16759e-08, relerr: 5.51412e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 56, t: 2.2265, relres: 4.44269e-08, relerr: 5.88264e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 2.60396, relres: 2.98197e-08, relerr: 3.94452e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 65, t: 3.05893, relres: 2.82797e-08, relerr: 3.74352e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 61, t: 2.83587, relres: 3.71561e-08, relerr: 4.89641e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 72, t: 3.67244, relres: 2.73536e-08, relerr: 3.62913e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 65, t: 2.99591, relres: 2.71006e-08, relerr: 3.56863e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 60, t: 2.52615, relres: 2.80743e-08, relerr: 3.7215e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 327680, iter: 60, t: 2.48458, relres: 2.54971e-08, relerr: 3.3524e-08
