Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 131, t: 0.578689, relres: 4.99419e-05, relerr: 4.68426e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 154, t: 0.744338, relres: 9.97401e-06, relerr: 9.46668e-06
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 157, t: 0.662469, relres: 9.94059e-06, relerr: 8.64345e-06
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 145, t: 0.707678, relres: 9.89364e-06, relerr: 7.9116e-06
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 149, t: 0.697341, relres: 9.88752e-06, relerr: 9.21149e-06
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 157, t: 0.561386, relres: 9.95929e-06, relerr: 8.80209e-06
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 157, t: 0.702301, relres: 9.94415e-06, relerr: 8.56913e-06
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 163, t: 0.747898, relres: 9.99306e-06, relerr: 9.49921e-06
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 149, t: 0.704028, relres: 9.9821e-06, relerr: 8.64289e-06
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 155, t: 0.467311, relres: 9.94502e-06, relerr: 8.58607e-06
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 142, t: 0.428836, relres: 9.98684e-06, relerr: 8.13462e-06
