Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4501, relres: 0.109914, relerr: 1.02806
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.3755, relres: 0.147532, relerr: 1.34692
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4121, relres: 0.120637, relerr: 1.49797
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.3603, relres: 0.123173, relerr: 1.27634
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4141, relres: 0.13595, relerr: 1.27453
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4802, relres: 0.107326, relerr: 1.2882
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.3289, relres: 0.100285, relerr: 1.08155
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.3817, relres: 0.113338, relerr: 1.45644
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4043, relres: 0.0957407, relerr: 1.13923
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.344, relres: 0.123311, relerr: 1.43662
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4332, relres: 0.147867, relerr: 1.33403
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.3424, relres: 0.131186, relerr: 1.27608
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4076, relres: 0.119328, relerr: 1.39993
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4424, relres: 0.129936, relerr: 1.31303
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.3516, relres: 0.104543, relerr: 1.39674
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4604, relres: 0.115306, relerr: 1.17293
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4079, relres: 0.128665, relerr: 1.32429
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.427, relres: 0.102516, relerr: 1.1005
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.431, relres: 0.125706, relerr: 1.31974
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4778, relres: 0.125052, relerr: 1.33551
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.4403, relres: 0.18929, relerr: 1.01349
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.4074, relres: 0.189447, relerr: 1.47635
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.4717, relres: 0.210328, relerr: 1.39852
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.615, relres: 0.164341, relerr: 1.4198
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.5791, relres: 0.153888, relerr: 1.22721
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.4059, relres: 0.170461, relerr: 1.34602
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.5622, relres: 0.160571, relerr: 1.22023
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.5023, relres: 0.166059, relerr: 1.23259
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.4127, relres: 0.168597, relerr: 1.47129
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 12.3784, relres: 0.164239, relerr: 1.29822
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 14.2111, relres: 0.167303, relerr: 1.19914
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 14.0535, relres: 0.189847, relerr: 1.26986
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 18.405, relres: 0.20987, relerr: 1.34104
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 18.245, relres: 0.18821, relerr: 1.39755
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 18.154, relres: 0.16324, relerr: 1.23882
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 18.2871, relres: 0.191557, relerr: 1.30525
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 17.8571, relres: 0.151863, relerr: 1.38282
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 18.0919, relres: 0.167758, relerr: 1.19301
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 18.4225, relres: 0.158024, relerr: 1.0936
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 17.8011, relres: 0.164751, relerr: 1.46139
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.4325, relres: 0.188458, relerr: 1.1814
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.6014, relres: 0.179008, relerr: 1.36985
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.7003, relres: 0.156012, relerr: 1.16272
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 21.0383, relres: 0.180418, relerr: 1.11065
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 15.6495, relres: 0.174935, relerr: 1.12903
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 15.5762, relres: 0.182786, relerr: 1.48914
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 15.6454, relres: 0.166281, relerr: 1.4293
