Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 8.23429, relres: 0.0632074, relerr: 1.12261
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.76477, relres: 0.0755409, relerr: 1.33138
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.73821, relres: 0.067971, relerr: 1.07302
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.84603, relres: 0.074325, relerr: 1.00217
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.3246, relres: 0.0630899, relerr: 0.982178
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.08, relres: 0.162992, relerr: 1.27847
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.1622, relres: 0.0649189, relerr: 1.16071
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.98533, relres: 0.0723813, relerr: 1.16994
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.2792, relres: 0.0605315, relerr: 1.35613
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.91714, relres: 0.0723456, relerr: 1.03252
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.71725, relres: 0.0701502, relerr: 1.16786
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.67529, relres: 0.148333, relerr: 1.10394
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 8.01759, relres: 0.0639549, relerr: 1.08556
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.92855, relres: 0.0709653, relerr: 1.17078
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 8.22697, relres: 0.0737116, relerr: 1.33041
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.10342, relres: 0.0844914, relerr: 1.32705
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.20661, relres: 0.0683023, relerr: 1.07001
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.67736, relres: 0.0663237, relerr: 1.18678
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.63051, relres: 0.0692049, relerr: 1.23221
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.21435, relres: 0.1108, relerr: 1.29963
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.21246, relres: 0.0751948, relerr: 1.4445
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.11806, relres: 0.0569865, relerr: 0.921426
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.48988, relres: 0.0760168, relerr: 1.20428
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.87021, relres: 0.079023, relerr: 1.29153
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.01209, relres: 0.0724525, relerr: 1.45551
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 7.07088, relres: 0.0770372, relerr: 1.3576
