Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.8483, relres: 0.085324, relerr: 1.46742
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.8266, relres: 0.134319, relerr: 1.48546
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.7888, relres: 0.148921, relerr: 1.56077
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.6368, relres: 0.139384, relerr: 1.37172
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.6158, relres: 0.138852, relerr: 1.48069
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 15.6259, relres: 0.154009, relerr: 1.47415
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 12.7217, relres: 0.151198, relerr: 1.478
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.6051, relres: 0.168763, relerr: 1.51016
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 15.509, relres: 0.140623, relerr: 1.45358
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.9358, relres: 0.188092, relerr: 1.48202
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 12.8491, relres: 0.159886, relerr: 1.46558
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.8409, relres: 0.152736, relerr: 1.64248
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.0015, relres: 0.129348, relerr: 1.49742
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 15.363, relres: 0.130258, relerr: 1.43618
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 12.853, relres: 0.166482, relerr: 1.48232
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.3382, relres: 0.161239, relerr: 1.38189
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.4802, relres: 0.158392, relerr: 1.29776
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.3933, relres: 0.148114, relerr: 1.53067
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 12.9204, relres: 0.168959, relerr: 1.54523
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.5337, relres: 0.149883, relerr: 1.50294
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.5145, relres: 0.187399, relerr: 1.55077
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 16.4097, relres: 0.136058, relerr: 1.47686
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.4096, relres: 0.152951, relerr: 1.5336
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.6322, relres: 0.151807, relerr: 1.55598
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.8666, relres: 0.155548, relerr: 1.54303
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 16.7909, relres: 0.155386, relerr: 1.34595
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 13.4869, relres: 0.129035, relerr: 1.55294
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 15.3916, relres: 0.150054, relerr: 1.44774
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.6964, relres: 0.170405, relerr: 1.5194
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.6096, relres: 0.148902, relerr: 1.53345
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.7509, relres: 0.143372, relerr: 1.43858
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 16.5424, relres: 0.146454, relerr: 1.45319
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.1886, relres: 0.136, relerr: 1.57084
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 16.0453, relres: 0.152629, relerr: 1.51878
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 17.9125, relres: 0.12662, relerr: 1.57422
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.636, relres: 0.143302, relerr: 1.45787
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 15.6096, relres: 0.136524, relerr: 1.27513
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 14.7332, relres: 0.127936, relerr: 1.35549
