Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.63657, relres: 0.468201, relerr: 0.0867241
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.69552, relres: 0.30897, relerr: 1.00791
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.61904, relres: 0.330931, relerr: 0.640282
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.00251, relres: 0.506654, relerr: 0.604389
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.98758, relres: 0.346445, relerr: 0.887411
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.96848, relres: 0.343547, relerr: 0.932119
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.02191, relres: 0.20786, relerr: 0.136125
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.06879, relres: 0.323683, relerr: 0.299553
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.05523, relres: 0.170119, relerr: 0.105025
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.97725, relres: 0.203869, relerr: 0.127304
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.92922, relres: 0.373728, relerr: 0.0909005
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.98196, relres: 0.397464, relerr: 0.960418
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.98757, relres: 0.29849, relerr: 0.075375
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.99022, relres: 0.379728, relerr: 1.46499
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.97046, relres: 0.285417, relerr: 0.117689
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.99953, relres: 0.270275, relerr: 0.192346
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.0065, relres: 0.274816, relerr: 0.0636452
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.98584, relres: 0.399716, relerr: 1.16825
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.95531, relres: 0.169975, relerr: 0.0930279
