GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.05482, relres: 0.658282, relerr: 1.44056
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.03987, relres: 0.67657, relerr: 1.45835
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.05463, relres: 0.672575, relerr: 1.2802
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.06846, relres: 0.711976, relerr: 1.40031
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.05531, relres: 0.634389, relerr: 1.39366
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.07223, relres: 0.683611, relerr: 1.40183
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 0.98985, relres: 0.701787, relerr: 1.36141
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.08142, relres: 0.675566, relerr: 1.34144
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.07875, relres: 0.662014, relerr: 1.42328
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.02858, relres: 0.742213, relerr: 1.30718
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.01642, relres: 0.692924, relerr: 1.30808
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.05314, relres: 0.651256, relerr: 1.36248
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.0407, relres: 0.732696, relerr: 1.35382
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.04331, relres: 0.656047, relerr: 1.39921
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.0195, relres: 0.709984, relerr: 1.35384
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.03937, relres: 0.70957, relerr: 1.31952
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.04862, relres: 0.648736, relerr: 1.33983
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.03, relres: 0.695068, relerr: 1.3652
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.03315, relres: 0.665256, relerr: 1.33456
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.04512, relres: 0.712905, relerr: 1.42912
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.02748, relres: 0.658639, relerr: 1.39521
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.02762, relres: 0.664989, relerr: 1.24724
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.02852, relres: 0.733174, relerr: 1.33121
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.05223, relres: 0.688954, relerr: 1.36098
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.04325, relres: 0.684579, relerr: 1.22934
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.02557, relres: 0.730401, relerr: 1.31848
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.04023, relres: 0.734398, relerr: 1.3342
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.05386, relres: 0.716673, relerr: 1.38783
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.02356, relres: 0.696157, relerr: 1.38059
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.06726, relres: 0.67646, relerr: 1.37893
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.06408, relres: 0.734676, relerr: 1.39075
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.0247, relres: 0.724395, relerr: 1.34489
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.03527, relres: 0.665673, relerr: 1.30621
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.03436, relres: 0.659356, relerr: 1.39048
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.04146, relres: 0.731494, relerr: 1.32628
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.04322, relres: 0.679868, relerr: 1.27605
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.03058, relres: 0.730738, relerr: 1.22212
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.05014, relres: 0.676582, relerr: 1.34832
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.03509, relres: 0.676444, relerr: 1.34297
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.04413, relres: 0.624591, relerr: 1.40336
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.11385, relres: 0.690847, relerr: 1.38254
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.03344, relres: 0.694019, relerr: 1.34978
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.14728, relres: 0.681988, relerr: 1.4024
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.10251, relres: 0.685209, relerr: 1.31928
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.31604, relres: 0.665958, relerr: 1.44886
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.0527, relres: 0.656679, relerr: 1.24121
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.06376, relres: 0.711923, relerr: 1.23943
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.20528, relres: 0.644894, relerr: 1.3259
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.51624, relres: 0.718394, relerr: 1.27357
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.32255, relres: 0.680883, relerr: 1.40834
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.10218, relres: 0.668415, relerr: 1.23515
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.07788, relres: 0.652901, relerr: 1.37098
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.11277, relres: 0.654492, relerr: 1.41405
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.60521, relres: 0.6673, relerr: 1.35824
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.92123, relres: 0.69224, relerr: 1.23483
GerSax -> gaussian, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.72095, relres: 0.665498, relerr: 1.2686
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.2357, relres: 0.687601, relerr: 1.35709
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.2096, relres: 0.621267, relerr: 1.35927
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.2155, relres: 0.687806, relerr: 1.26689
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.07952, relres: 0.699618, relerr: 1.29639
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.21199, relres: 0.677355, relerr: 1.30807
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.27817, relres: 0.684394, relerr: 1.21562
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.63832, relres: 0.685252, relerr: 1.32522
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.16267, relres: 0.698544, relerr: 1.33333
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.27366, relres: 0.700446, relerr: 1.382
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.32767, relres: 0.667019, relerr: 1.39682
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.22267, relres: 0.654119, relerr: 1.42584
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.30768, relres: 0.729709, relerr: 1.28707
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.40782, relres: 0.715965, relerr: 1.22502
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.66684, relres: 0.677041, relerr: 1.36178
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.26901, relres: 0.705864, relerr: 1.30569
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.37107, relres: 0.69167, relerr: 1.41099
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.64452, relres: 0.671484, relerr: 1.39246
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.53315, relres: 0.700039, relerr: 1.36388
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.19546, relres: 0.722659, relerr: 1.24809
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.18952, relres: 0.713433, relerr: 1.2813
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.25236, relres: 0.7648, relerr: 1.34743
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.61816, relres: 0.693639, relerr: 1.28982
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.26026, relres: 0.699435, relerr: 1.2442
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 1.44653, relres: 0.711157, relerr: 1.29483
GerSax -> gaussian, real, rand_init, n: 256, m: 728, iter: 2500, t: 2.10609, relres: 0.740703, relerr: 1.29344
