Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 124, t: 5.48331, relres: 1.52167e-08, relerr: 2.02642e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 194, t: 8.52637, relres: 2.12098e-08, relerr: 2.77738e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.4668, relres: 1.20832, relerr: 1.74148
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 259, t: 11.219, relres: 2.37056e-08, relerr: 3.37028e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.4649, relres: 0.85619, relerr: 1.18764
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 77, t: 3.41291, relres: 2.26148e-08, relerr: 2.75178e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 79, t: 3.56661, relres: 1.9393e-08, relerr: 2.97881e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.5624, relres: 1.02885, relerr: 1.56893
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 235, t: 10.2732, relres: 1.11284e-08, relerr: 1.45338e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 80, t: 3.54128, relres: 2.79455e-08, relerr: 3.6459e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 155, t: 6.76057, relres: 2.76322e-08, relerr: 4.38092e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 21.6007, relres: 1.04672, relerr: 1.68964
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 71, t: 3.17716, relres: 3.37512e-08, relerr: 4.59461e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 131, t: 5.77627, relres: 2.39621e-08, relerr: 3.04724e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 485, t: 20.8066, relres: 1.37387e-08, relerr: 1.91639e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 95, t: 4.2159, relres: 1.98149e-08, relerr: 2.97987e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 58, t: 2.61988, relres: 2.21432e-08, relerr: 2.98116e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 258, t: 11.2939, relres: 1.96111e-08, relerr: 3.05974e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 361, t: 15.6596, relres: 2.71737e-08, relerr: 3.13116e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 36, t: 1.63565, relres: 1.49931e-08, relerr: 2.51305e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 295, t: 12.709, relres: 2.62717e-08, relerr: 4.08188e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 386, t: 16.8093, relres: 1.816e-08, relerr: 2.5285e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 108, t: 4.86423, relres: 1.8928e-08, relerr: 3.05227e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 31, t: 1.42452, relres: 2.8736e-08, relerr: 4.10773e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 265, t: 11.521, relres: 2.48329e-08, relerr: 3.10487e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 43, t: 1.95873, relres: 1.6111e-08, relerr: 1.96631e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 485, t: 20.818, relres: 1.70518e-08, relerr: 2.2143e-08
