Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 71, t: 1.58074, relres: 5.02509e-10, relerr: 7.91337e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.09017, relres: 0.53905, relerr: 1.15241
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.90707, relres: 0.637177, relerr: 1.10264
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 31, t: 0.64141, relres: 1.03878e-09, relerr: 1.47675e-09
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 39, t: 0.853097, relres: 5.17335e-10, relerr: 8.21509e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.45485, relres: 0.619311, relerr: 1.36875
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.72294, relres: 0.664739, relerr: 1.5184
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 82, t: 1.66973, relres: 3.65504e-10, relerr: 5.46933e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.84511, relres: 0.595913, relerr: 1.22343
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 35, t: 0.798106, relres: 5.13414e-10, relerr: 8.32016e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 54, t: 1.21953, relres: 1.21456e-10, relerr: 1.66606e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.45825, relres: 0.596958, relerr: 1.06721
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.44226, relres: 0.59216, relerr: 1.33888
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.48913, relres: 0.579048, relerr: 1.54267
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 39, t: 0.882023, relres: 3.67611e-11, relerr: 5.88052e-11
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.45747, relres: 0.573968, relerr: 1.36816
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.46069, relres: 0.599637, relerr: 1.46884
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.02077, relres: 0.662362, relerr: 1.46042
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.41457, relres: 0.564184, relerr: 1.1742
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.04896, relres: 0.558628, relerr: 1.45207
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.44754, relres: 0.574517, relerr: 1.36875
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.02553, relres: 0.54698, relerr: 1.10507
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.39275, relres: 0.610373, relerr: 1.43407
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.19973, relres: 0.62453, relerr: 1.4571
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.45363, relres: 0.616568, relerr: 1.47272
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.04049, relres: 0.627013, relerr: 1.11574
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 34, t: 0.806597, relres: 2.81211e-10, relerr: 4.96781e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.45782, relres: 0.562399, relerr: 1.37411
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.84252, relres: 0.607708, relerr: 1.62298
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.49089, relres: 0.642858, relerr: 1.50911
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.85831, relres: 0.557907, relerr: 1.19159
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.08998, relres: 0.628719, relerr: 1.30679
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.37425, relres: 0.674806, relerr: 1.47726
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.08465, relres: 0.577096, relerr: 1.49601
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 35, t: 0.683437, relres: 1.59871e-09, relerr: 2.20713e-09
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.10203, relres: 0.571325, relerr: 1.43709
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.40886, relres: 0.653269, relerr: 1.44057
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.18904, relres: 0.649324, relerr: 1.34004
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.42611, relres: 0.642586, relerr: 1.44094
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 728, iter: 500, t: 9.73434, relres: 0.632981, relerr: 1.35094
