GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.10121, relres: 0.495865, relerr: 0.859768
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.06906, relres: 0.424283, relerr: 0.774044
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.0729, relres: 0.526923, relerr: 0.968724
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.12383, relres: 0.739932, relerr: 1.03018
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.11699, relres: 0.70491, relerr: 1.13024
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.03434, relres: 0.620434, relerr: 0.873838
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.06939, relres: 0.582706, relerr: 0.812016
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.07057, relres: 0.567977, relerr: 0.762405
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.05107, relres: 0.537154, relerr: 0.84292
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.03992, relres: 0.692482, relerr: 0.985457
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.03089, relres: 0.537242, relerr: 0.912804
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.06424, relres: 0.53278, relerr: 0.799585
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.08484, relres: 0.526453, relerr: 0.924742
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.09611, relres: 0.579576, relerr: 0.847286
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.10828, relres: 0.601179, relerr: 0.952565
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.0785, relres: 0.689558, relerr: 0.886932
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.06385, relres: 0.679816, relerr: 1.32403
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.03419, relres: 0.572293, relerr: 1.02046
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.02973, relres: 0.654019, relerr: 0.976723
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.11378, relres: 0.761053, relerr: 1.09803
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.07413, relres: 0.414803, relerr: 0.676853
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.07888, relres: 0.43269, relerr: 0.706852
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.06999, relres: 0.53594, relerr: 0.786036
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.12772, relres: 0.654214, relerr: 0.965349
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.08884, relres: 0.588068, relerr: 0.966644
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.0437, relres: 0.416189, relerr: 0.747647
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.01801, relres: 0.609055, relerr: 0.998482
