GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 25.1966, relres: 0.0859115, relerr: 1.25353
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 20.43, relres: 0.112523, relerr: 1.38303
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 20.0551, relres: 0.0851647, relerr: 1.20807
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.848, relres: 0.0850349, relerr: 1.38998
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 22.8784, relres: 0.0920694, relerr: 1.36839
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 23.9776, relres: 0.0944355, relerr: 1.43271
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 28.4838, relres: 0.102969, relerr: 1.52608
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.7393, relres: 0.0802219, relerr: 1.2933
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.5662, relres: 0.096667, relerr: 1.26995
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 22.1068, relres: 0.0923938, relerr: 1.42224
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.5936, relres: 0.0911591, relerr: 1.46233
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 22.2673, relres: 0.103312, relerr: 1.42821
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 24.6147, relres: 0.0769028, relerr: 1.12352
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 20.5095, relres: 0.103811, relerr: 1.48053
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.0691, relres: 0.0970595, relerr: 1.34223
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 22.6948, relres: 0.0974252, relerr: 1.34722
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 24.5901, relres: 0.0918525, relerr: 1.28367
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 22.8724, relres: 0.0696561, relerr: 0.887364
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 23.799, relres: 0.0852423, relerr: 1.24952
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 22.461, relres: 0.0749359, relerr: 1.11209
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 22.216, relres: 0.0964654, relerr: 1.46169
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 20.7076, relres: 0.0967838, relerr: 1.50314
