Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 59, t: 1.78465, relres: 1.91575e-08, relerr: 2.81388e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 30, t: 0.917292, relres: 1.71114e-08, relerr: 2.48706e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 24, t: 0.703638, relres: 2.15111e-08, relerr: 3.44252e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 27, t: 0.844831, relres: 1.82059e-08, relerr: 2.39073e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 28, t: 0.848105, relres: 2.67826e-08, relerr: 3.82994e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 26, t: 0.743501, relres: 2.93658e-08, relerr: 5.026e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 34, t: 1.05662, relres: 1.49018e-08, relerr: 2.22663e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 39, t: 1.25207, relres: 1.8311e-08, relerr: 2.45928e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 220, t: 6.94186, relres: 2.95986e-08, relerr: 3.9914e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 23, t: 0.724118, relres: 1.89592e-08, relerr: 2.70688e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 22, t: 0.701974, relres: 2.05559e-08, relerr: 2.83537e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 34, t: 1.10724, relres: 2.82342e-08, relerr: 3.79878e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 25, t: 0.789863, relres: 2.28186e-08, relerr: 3.51897e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 19, t: 0.622768, relres: 1.495e-08, relerr: 2.09031e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 32, t: 1.02897, relres: 1.35524e-08, relerr: 1.81138e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 22, t: 0.729413, relres: 2.38674e-08, relerr: 3.57625e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 300, t: 9.08219, relres: 0.755742, relerr: 1.44631
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 20, t: 0.673664, relres: 1.69735e-08, relerr: 2.38362e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 22, t: 0.749207, relres: 1.67582e-08, relerr: 2.72594e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 24, t: 0.773422, relres: 1.44949e-08, relerr: 1.86042e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 300, t: 9.32271, relres: 0.02699, relerr: 0.0305112
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 21, t: 0.68881, relres: 1.42072e-08, relerr: 2.00646e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 21, t: 0.699667, relres: 2.95072e-08, relerr: 4.13537e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 23, t: 0.747096, relres: 2.35634e-08, relerr: 3.49119e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 20, t: 0.654444, relres: 2.31524e-08, relerr: 3.40359e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 23, t: 0.740321, relres: 1.94093e-08, relerr: 2.63912e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 22, t: 0.714027, relres: 2.84538e-08, relerr: 4.13951e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 29, t: 0.924111, relres: 2.64234e-08, relerr: 3.26076e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 22, t: 0.686779, relres: 2.88714e-08, relerr: 3.65993e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 24, t: 0.788347, relres: 2.10648e-08, relerr: 2.71989e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 24, t: 0.74466, relres: 2.10254e-08, relerr: 2.54115e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 20, t: 0.67599, relres: 1.37727e-08, relerr: 1.7359e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 21, t: 0.905556, relres: 1.74901e-08, relerr: 2.26877e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 29, t: 0.92275, relres: 1.48463e-08, relerr: 2.22948e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 20, t: 0.613205, relres: 3.23542e-08, relerr: 4.69366e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 22, t: 0.737342, relres: 1.93578e-08, relerr: 2.41004e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 23, t: 0.718812, relres: 2.17616e-08, relerr: 2.90527e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 22, t: 0.701885, relres: 1.94797e-08, relerr: 2.81934e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 21, t: 0.651295, relres: 2.79419e-08, relerr: 4.1807e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 26, t: 0.794566, relres: 2.18447e-08, relerr: 2.93571e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 20, t: 0.653143, relres: 1.99285e-08, relerr: 2.6136e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 39, t: 1.21609, relres: 2.47046e-08, relerr: 3.35021e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 32, t: 1.02631, relres: 1.81448e-08, relerr: 2.28119e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 26, t: 0.859927, relres: 2.74341e-08, relerr: 3.77695e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 76, t: 2.45018, relres: 2.50049e-08, relerr: 3.66755e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 21, t: 0.678781, relres: 2.60534e-08, relerr: 3.21295e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 21, t: 0.646699, relres: 2.4852e-08, relerr: 3.05292e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 23, t: 0.730137, relres: 1.56828e-08, relerr: 2.05256e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 241, t: 7.60189, relres: 1.84682e-08, relerr: 2.52116e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 674, iter: 21, t: 0.688811, relres: 1.71606e-08, relerr: 2.63745e-08
