Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 40, t: 0.844303, relres: 1.1079e-10, relerr: 1.76016e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 37, t: 0.657721, relres: 1.07546e-10, relerr: 1.66332e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 36, t: 0.696507, relres: 5.51894e-10, relerr: 8.45025e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 37, t: 0.67801, relres: 5.06306e-10, relerr: 7.77718e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 39, t: 0.732216, relres: 1.10507e-10, relerr: 1.77465e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 35, t: 0.64465, relres: 1.84456e-09, relerr: 2.86891e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 48, t: 0.886065, relres: 8.88175e-12, relerr: 1.35678e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 42, t: 0.767094, relres: 3.36185e-11, relerr: 5.44335e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 5.91892, relres: 0.490512, relerr: 0.885764
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 39, t: 0.655605, relres: 1.87429e-10, relerr: 2.84471e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 50, t: 0.932605, relres: 1.99478e-09, relerr: 3.14415e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 5.72238, relres: 0.483502, relerr: 0.818593
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 37, t: 0.79337, relres: 4.3629e-10, relerr: 7.57229e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 35, t: 0.607475, relres: 3.479e-09, relerr: 5.52198e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 35, t: 0.685341, relres: 7.00709e-10, relerr: 1.05669e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 48, t: 0.970178, relres: 4.99696e-11, relerr: 7.7914e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 36, t: 0.754182, relres: 9.00881e-10, relerr: 1.60108e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 43, t: 0.930299, relres: 1.11985e-11, relerr: 1.6947e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 5.45707, relres: 0.388308, relerr: 0.706604
