Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.8457, relres: 0.434179, relerr: 1.55007
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.8651, relres: 0.466897, relerr: 1.58078
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.6869, relres: 0.427849, relerr: 1.52176
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.7296, relres: 0.446624, relerr: 1.5082
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.8448, relres: 0.467904, relerr: 1.61501
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 51.8171, relres: 0.481917, relerr: 1.57209
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 59.1487, relres: 0.553189, relerr: 1.64704
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 49.5527, relres: 0.462227, relerr: 1.56754
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 47.2894, relres: 0.473821, relerr: 1.51918
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 47.6415, relres: 0.430634, relerr: 1.69501
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 47.1508, relres: 0.482926, relerr: 1.55333
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 46.8151, relres: 0.439948, relerr: 1.54943
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 47.6006, relres: 0.424852, relerr: 1.4745
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 49.475, relres: 0.504102, relerr: 1.62462
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 49.1404, relres: 0.500461, relerr: 1.54115
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 48.9934, relres: 0.454652, relerr: 1.65185
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 48.6351, relres: 0.414858, relerr: 1.55731
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 50.2305, relres: 0.413986, relerr: 1.61384
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 50.1345, relres: 0.482828, relerr: 1.53577
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 51.3523, relres: 0.479871, relerr: 1.58789
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 49.5476, relres: 0.376862, relerr: 1.60788
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 55.5432, relres: 0.428949, relerr: 1.51066
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 59.8983, relres: 0.423437, relerr: 1.56269
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 54.3908, relres: 0.428459, relerr: 1.57978
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 53.1242, relres: 0.43102, relerr: 1.56226
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 58.087, relres: 0.478939, relerr: 1.59624
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 48.4242, relres: 0.543907, relerr: 1.62584
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 48.4285, relres: 0.476283, relerr: 1.58064
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 48.7727, relres: 0.435067, relerr: 1.36305
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 52.746, relres: 0.450287, relerr: 1.48061
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 57.8297, relres: 0.465692, relerr: 1.61201
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 60.4514, relres: 0.454491, relerr: 1.52142
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 61.2545, relres: 0.431694, relerr: 1.46823
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 60.6541, relres: 0.431113, relerr: 1.63546
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 620, iter: 500, t: 59.0119, relres: 0.440023, relerr: 1.50857
