Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.50613, relres: 0.133696, relerr: 0.984914
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.12882, relres: 0.133236, relerr: 1.02938
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.6647, relres: 0.12687, relerr: 1.28981
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.3675, relres: 0.125131, relerr: 1.1494
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.2199, relres: 0.128459, relerr: 1.04517
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.2048, relres: 0.122471, relerr: 1.04953
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 11.4526, relres: 0.141705, relerr: 1.26748
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.0373, relres: 0.13464, relerr: 1.12533
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.1155, relres: 0.146296, relerr: 1.1518
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.79776, relres: 0.164122, relerr: 1.34912
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.40468, relres: 0.114998, relerr: 1.01164
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.9911, relres: 0.156692, relerr: 1.14025
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.81397, relres: 0.146705, relerr: 1.01418
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.528, relres: 0.127261, relerr: 1.02884
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 11.7257, relres: 0.133565, relerr: 0.970668
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.23178, relres: 0.138497, relerr: 1.28935
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.23139, relres: 0.154408, relerr: 1.45668
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.08806, relres: 0.127316, relerr: 1.07924
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.1649, relres: 0.132593, relerr: 1.26294
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.40042, relres: 0.138053, relerr: 1.31491
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.78613, relres: 0.153822, relerr: 1.33685
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.08449, relres: 0.143219, relerr: 1.3672
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.97647, relres: 0.106269, relerr: 0.946533
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.72263, relres: 0.143546, relerr: 1.20256
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.81443, relres: 0.141116, relerr: 1.27722
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.1023, relres: 0.160867, relerr: 1.44801
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.75849, relres: 0.136308, relerr: 1.0661
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.37988, relres: 0.126307, relerr: 1.09112
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.1279, relres: 0.153091, relerr: 1.31936
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.80352, relres: 0.152741, relerr: 1.18147
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.24878, relres: 0.107654, relerr: 1.19691
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.56436, relres: 0.135791, relerr: 1.25955
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.81835, relres: 0.0928844, relerr: 0.749325
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.92124, relres: 0.0933809, relerr: 0.899304
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.37572, relres: 0.111919, relerr: 1.04929
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.1583, relres: 0.140362, relerr: 1.29575
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.67614, relres: 0.132739, relerr: 1.39448
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.7373, relres: 0.150269, relerr: 1.25379
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.06123, relres: 0.160735, relerr: 1.38768
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 10.1153, relres: 0.109673, relerr: 1.18635
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.96634, relres: 0.104912, relerr: 0.513423
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.73949, relres: 0.186575, relerr: 1.48002
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.0612, relres: 0.132782, relerr: 0.686252
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 11.4483, relres: 0.185859, relerr: 1.07883
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 11.0251, relres: 0.196591, relerr: 1.35497
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 11.1074, relres: 0.218511, relerr: 1.43964
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.9421, relres: 0.176322, relerr: 1.18191
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 11.0904, relres: 0.18621, relerr: 1.28787
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 8.85526, relres: 0.198575, relerr: 1.34467
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 8.92252, relres: 0.128844, relerr: 0.705031
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.2992, relres: 0.208419, relerr: 1.2564
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 8.5654, relres: 0.200042, relerr: 1.3909
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.3139, relres: 0.164965, relerr: 0.992124
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 8.75428, relres: 0.142428, relerr: 0.801612
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.3614, relres: 0.168009, relerr: 0.936994
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 8.92671, relres: 0.160623, relerr: 1.27134
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 8.97059, relres: 0.173347, relerr: 0.89117
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.35476, relres: 0.178933, relerr: 1.22567
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.05977, relres: 0.0130105, relerr: 0.0524451
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 8.91187, relres: 0.162586, relerr: 0.986989
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.53912, relres: 0.18503, relerr: 1.2448
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.63397, relres: 0.155116, relerr: 1.17253
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.086, relres: 0.173478, relerr: 1.11998
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 11.2641, relres: 0.182791, relerr: 1.3391
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.0956, relres: 0.182501, relerr: 1.06324
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.3177, relres: 0.18129, relerr: 1.18923
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.71668, relres: 0.130649, relerr: 0.656592
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.49664, relres: 0.206185, relerr: 1.28595
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.47001, relres: 0.204323, relerr: 1.3124
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.5169, relres: 0.131517, relerr: 0.7486
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.40979, relres: 0.176286, relerr: 1.2616
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.72569, relres: 0.185831, relerr: 0.98865
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.80781, relres: 0.167769, relerr: 1.36383
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.1713, relres: 0.00363307, relerr: 0.0149927
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.3753, relres: 0.0869017, relerr: 0.57331
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.38528, relres: 0.166709, relerr: 1.03923
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.5527, relres: 0.128372, relerr: 0.743865
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.308, relres: 0.126106, relerr: 0.775122
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 11.8341, relres: 0.168586, relerr: 1.13198
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.55685, relres: 0.155665, relerr: 1.0656
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.26759, relres: 0.154234, relerr: 0.960609
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.41758, relres: 0.15434, relerr: 0.982915
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.34152, relres: 2.56538e-05, relerr: 0.000148143
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.16681, relres: 0.070799, relerr: 0.408674
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.26174, relres: 0.208798, relerr: 1.35933
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 8.79315, relres: 0.158623, relerr: 0.941799
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.50814, relres: 0.129744, relerr: 0.846509
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.77429, relres: 0.142398, relerr: 1.01663
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 10.8185, relres: 0.184399, relerr: 1.13455
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 9.94367, relres: 0.172771, relerr: 1.11165
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 12.191, relres: 0.172862, relerr: 0.777158
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 11.3391, relres: 0.197035, relerr: 0.864216
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 12.7339, relres: 0.292135, relerr: 1.41838
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 10.4788, relres: 8.50757e-08, relerr: 3.52856e-07
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 11.3601, relres: 0.190528, relerr: 0.990851
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 10.1967, relres: 0.214203, relerr: 1.11953
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 11.0537, relres: 0.105158, relerr: 0.363499
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 274, t: 11.2365, relres: 1.31927e-08, relerr: 4.91246e-08
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 10.037, relres: 2.77878e-07, relerr: 1.1771e-06
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 11.0057, relres: 0.195695, relerr: 1.19271
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 11.8223, relres: 0.0064634, relerr: 0.0226937
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 10.4173, relres: 0.204941, relerr: 0.921285
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 728, iter: 300, t: 11.1837, relres: 0.158915, relerr: 0.825352
